name,fmin (Hz),fmax (Hz),F0 25th percentile (Hz),F0 50th percentile (Hz),F0 75th percentile (Hz),F0 Mean (Hz),F0 Delta Mean (Hz),RMS Mean,RMS Delta Mean,Spectral Centroid Mean (Hz),Spectral Centroid Delta Mean (Hz),Adjusted Centroid Mean,HNR Mean,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC Delta1,MFCC Delta2,MFCC Delta3,MFCC Delta4,MFCC Delta5,MFCC Delta6,MFCC Delta7,MFCC Delta8,MFCC Delta9,MFCC Delta10,MFCC Delta11,MFCC Delta12,gender_label
Man00023.wav,119.9558506,275.5861765,121.1749398,216.2205317,216.2205317,190.1598658,-1.06690202,0.113766454,-0.001076014,2743.763887,-23.03232602,16.05643966,4.552758467,80.90473938,-29.90340042,-13.4134903,30.07839394,-8.457443237,-36.98892593,26.71184158,-37.82067108,0.541800022,-7.039758205,11.28384018,-9.560493469,1.000314236,-2.712504148,0.83348459,-0.314104259,-1.091691732,-0.302774519,-0.058525205,0.136022225,0.719274938,0.108941846,-0.286289006,-0.240124539,0
Man00024.wav,220,263.1411468,221.274447,261.6255653,261.6255653,250.6342444,0.028310937,0.2625346,-0.000518144,2896.906604,-15.70273338,11.59755195,9.32793005,55.69343948,-24.27831078,6.744202614,-12.8432169,6.312269688,-9.949904442,-4.046061993,-6.543438911,-3.835952997,-8.560747147,-7.232484341,-13.67041302,0.355266511,-0.220378518,0.359404385,0.378895283,0.3128106,-0.021960175,-0.150288612,-0.251475573,-0.177076757,-0.115811154,0.248323411,-0.039420996,0
Man00025.wav,112.5711281,355.3326334,298.7979376,332.4973573,335.3893451,311.369895,-1.853224067,0.2767101,2.18E-05,2420.121593,-0.167587419,7.968753716,17.64057413,47.79812241,-32.70872116,21.01525688,-21.35573578,-11.93638229,-3.599297285,4.873653412,-25.60965729,19.16602325,-10.60064888,5.965497494,-3.425329685,0.204402313,0.156950817,0.13761057,-0.064755514,0.206283361,0.160060585,0.029682267,0.022076936,0.141997844,-0.108484246,-0.064340152,0.013342498,0
Man00026.wav,113.223246,117.2160552,114.5388368,115.2023535,115.869714,115.402118,0.008249027,0.19357003,-0.00033277,2543.719082,-1.955120688,22.04789806,12.37881175,77.81783295,-12.93739605,12.79386425,-20.7863636,-20.00409508,17.9349823,11.25612259,-36.29527664,16.50089264,-14.42568493,11.84391308,-1.806419015,0.189282447,-0.211835325,-0.119400553,-0.070133649,0.073614262,0.211474434,-0.121863768,0.043708649,0.012266723,0.030068317,0.107637227,-0.114505887,0
Man00027.wav,142.652351,312.929324,152.0104168,161.0494266,162.9207308,179.8394112,0.929014313,0.20104142,5.73E-06,2076.985928,0.569192111,11.73260458,13.70928379,89.4141922,-13.02833366,0.621813416,-38.68162537,-40.77455521,-12.88702488,19.55549049,-33.44815826,-1.41396153,-18.74954224,-12.66456604,-5.332107544,-0.00610011,-0.107765995,0.226826906,0.254936486,-0.036582407,-0.323753685,0.009023419,0.283805043,-0.220890567,0.040417634,0.052787974,-0.005746006,0
Man00028.wav,115.2023535,140.201669,115.2023535,115.869714,137.7930882,124.7099695,-0.06349646,0.21327688,2.92E-05,1569.366424,3.322287776,12.8189718,15.51723045,117.6824875,-4.02023077,30.09949303,-1.497680068,-47.7371254,2.349331856,31.7553463,-30.41408157,15.20212269,-8.734337807,-2.930039406,-7.210559368,-0.347899139,-0.022388313,0.230109259,-0.011644456,-0.031673413,0.007558745,-0.055629641,-0.061196025,0.127313942,0.1336869,-0.058501709,0.01260184,0
Man00029.wav,217.4730845,251.2581146,235.8531013,244.1052839,248.3721691,241.2257439,-0.187587565,0.1391705,-0.000435101,1929.0455,-7.459383781,7.909829098,15.04786373,102.7366486,13.5216608,-16.00090027,-12.31248379,-38.32077408,4.533971786,20.74433136,-54.0753746,16.70833206,-25.15983391,-11.05921555,-1.209761024,0.032226987,-0.459457755,1.265889287,1.368992209,-0.486872107,-1.607121468,-0.400229484,0.101405762,-0.449578404,-0.238422096,-0.359304905,0.104530297,0
Man00030.wav,175.625645,380.8360868,176.643034,177.6663167,177.6663167,192.4702621,1.432826404,0.27478,-3.66E-05,3822.91421,4.445298095,20.6401996,12.71167603,26.22912025,12.48372936,-3.140328169,-9.445701599,-27.64948273,21.61382675,12.73098564,-10.69280815,1.540192962,-15.61154461,-19.73082161,-4.331523418,-0.290399253,0.21560891,0.161238596,0.260323733,0.139264032,-0.303713888,-0.041174106,-0.229172677,-0.172432736,-0.134599164,0.229023769,-0.032410443,0
Man00031.wav,241.3014955,372.1377786,273.9989169,275.5861765,312.929324,291.9648156,0.205970347,0.21235944,0.00018768,2428.488178,-13.89294464,8.415603656,11.45001484,75.50795746,-1.04824543,-16.86569405,-12.67124748,-33.49637222,-28.90088844,18.01695251,-35.59661865,10.63920403,-4.972419262,-8.534963608,1.925042748,0.533572614,0.367199928,0.011358901,-1.32610333,-0.255800009,-0.361763597,0.173403934,0.046558507,0.097686097,0.02133646,0.341281831,0.135519996,0
Man00032.wav,222.5562769,285.304702,223.8455323,258.6205394,283.6614679,254.8735662,-0.659818022,0.24334565,-0.001370935,2278.758036,-17.49050106,8.934145418,16.88199637,66.35051727,-4.889325142,18.78093147,-15.23028755,-24.90120697,-10.92610455,7.976610184,-47.28624344,10.4372139,-20.30053902,15.61672592,-12.37245274,0.976786613,0.233237505,-0.453560352,0.227444693,-0.123162292,0.381728858,-0.00400942,0.0058655,-0.298034996,-0.226931363,0.55815357,-0.094914407,0
